Expense Category,Spend/Income 6/30/25
Emerging Needs,"Classroom libraries, Science supplies, classroom chairs, etc"
Emerging Needs Fund,"$3,259"
FOSB managed grants for teachers,"$5,997"
Fund-A-Need from 2024 auction- Library Renovation,"$33,000"
Racial Equity Team (RET),-
Subtotal - Unplanned Expenses,"$42,256"
SCHOOL GRANT- District,
Salmon Bay School Grant,"$92,167"
Total Salmon Bay Support,"$92,167"
ADDITIONAL SCHOOL SUPPORT,
Drama Stage Tech,"$2,871"
Evening Staffing Support,-
Classroom support,"$5,900"
Elementary SEP Supplies & Outside instructors,$267
Professional Development,"$2,246"
Kindergarten Jumpstart,"$9,000"
Kindergarten T-shirts,$579
Lantern Festival,$620
Middle School Exploratory Supplies,$881
Middle School Sports Support,"$1,250"
Spring Ultimate Frisbee,-
WEB T-shirts and Supplies,"$1,376"
Yearbooks Elementary & Middle,"$9,068"
5th Grade Activities,$400
8th Grade Activities,"$1,370"
Appreciations,"$1,416"
Background Checks Scholarship,-
Community Connection,-
New Student Welcome,$53
School Snacks for teachers,"$2,353"
Supplies for Events/Work Parties,-
Volunteer Coordinator Support - other,$471
Total Add'l School Support,"$40,121"
,
,
Scholarships and Equity,
FOSB Scholarships,"$36,622"
,
Professional Development,-
Total Equity Funding,"$36,622"
,
Operating Costs- FOSB,
Annual Liability Insurance,$535
Bank Fees,$42
Bookkeeper fees,"$3,046"
"Communications (Zoom, website, etc)",$615
FOSB Annual Director Planning Meeting,-
FOSB Board Professional Development,-
FOSB Meeting expenses,$77
FOSB Volunteer Appreciation Event,$401
Fundraising: Bulk Mail Permit,-
Fundraising: Credit Card Service Fees,"$5,221"
Fundraising: IATS Annual Fee,-
Fundraising: Maestro Annual Fee,-
QuickBooks License Renewal,$80
State/City Filings,$231
Supplies,$369
Total FOSB Administration,"$10,617"
COMMITTEES,
Advocacy,$570
Racial Equity Fund,"$5,106"
Auction Expense (not including CC fees),$24
Bike to School,-
CANSSPA Partnership,-
Building Community Initiative,"$3,750"
Direct Giving,$420
"Equity, Diversity, Inclusion Committee",-
Families of Color Committee,-
Family and Student Learning Support Committee,-
Garden Committee,$644
Legislative Committee,-
Parent Information Exchange (PIE),"$2,419"
Traffic Safety,"$1,013"
Total Committee Support,"$13,946"
GRAND TOTAL - ALL EXPENSES,"$235,729"